sample_id,unique_sample_id,sample_label,Crop,treatment_2,date,watershed,AM_vs_ECM,soil_type,mycorrhizal_colonization_617_622,extra_mycol_722,extra_mycol_822,AP_617_622,BG_617_622,NAG_617_622,Phenox_617_622,Perox_617_622,AP_517_722,BG_517_722,NAG_517_722,Phenox_517_722,Perox_517_722
Brzostek_157,157,2022 3 ECM2 B,,n fertilized,2022,3_ammonium_sulfate,ECM,Bulk,100,33.33333333,,0.109114818,0.248855264,0.00712408,,,0.451784672,0.182342767,0.010987269,0.373916716,0.232020122
Brzostek_160,160,2022 3 ECM3 R,,n fertilized,2022,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.325510489,0.4394248,0.044956674,,,0.924408087,0.196518705,0.009654566,0.444940555,0.075488936
Brzostek_161,161,2022 3 ECM3 B,,n fertilized,2022,3_ammonium_sulfate,ECM,Bulk,100,69.56521739,30,0.107397479,0.222624861,0.013569816,,,1.07750542,0.24623186,0.007289691,0.326332826,0.33031693
Brzostek_163,163,2022 3 ECM4 R,,n fertilized,2022,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.699329687,0.418999159,0.031974296,,,1.203640169,0.494502654,0.006844092,,
Brzostek_164,164,2022 3 ECM4 B,,n fertilized,2022,3_ammonium_sulfate,ECM,Bulk,100,4,37.5,0.888440287,0.341400483,0.029991579,,,1.396604901,0.190043716,0.008933325,0.570773632,0.162859793
Brzostek_166,166,2022 3 ECM5 R,,n fertilized,2022,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.780048657,0.449635691,0.052433177,,,1.020789805,0.192787294,0.007137073,0.471103912,0.476494445
Brzostek_167,167,2022 3 ECM5 B,,n fertilized,2022,3_ammonium_sulfate,ECM,Bulk,100,89.79591837,70,0.614477895,0.257500923,,,,1.288792742,0.114564474,0.00350171,0.304212858,0.613972388
Brzostek_169,169,2022 3 ECM6 R,,n fertilized,2022,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.300421173,0.201228376,0.015019583,,,1.104040553,0.17287071,0.003648365,0.181617447,0.299180374
Brzostek_170,170,2022 3 ECM6 B,,n fertilized,2022,3_ammonium_sulfate,ECM,Bulk,100,0,11.11111111,0.311179453,0.205422355,0.024629529,,,0.727594599,0.127603196,0.008033365,0.060829743,0.311323454
Brzostek_172,172,2022 7 AM1 R,,reference,2022,7_ecosystem_recovery,AM,Rhizosphere,,,,0.951770997,0.28,0.005999594,,,1.899544273,0.287033798,0.062947344,0.374015204,0.451368339
Brzostek_173,173,2022 7 AM1 B,,reference,2022,7_ecosystem_recovery,AM,Bulk,,24.13793103,73.07692308,0.503066071,0.23,0.004891534,,,0.521622223,0.171675162,0.036148979,0.278100249,0.341338289
Brzostek_175,175,2022 7 AM2 R,,reference,2022,7_ecosystem_recovery,AM,Rhizosphere,,,,1.12666666,0.27,0.003435167,,,1.525542637,0.400452015,0.08834743,0.782090016,0.411607298
Brzostek_176,176,2022 7 AM2 B,,reference,2022,7_ecosystem_recovery,AM,Bulk,,37.36263736,66.21621622,1.001317084,0.27,0.003731978,,,2.214968854,0.50498208,0.111872399,0.598287918,0.534805972
Brzostek_178,178,2022 7 AM3 R,,reference,2022,7_ecosystem_recovery,AM,Rhizosphere,,,,0.988300761,0.19,0.018127949,,,1.434472423,0.25421532,0.054942424,0.287573147,0.071607457
Brzostek_179,179,2022 7 AM3 B,,reference,2022,7_ecosystem_recovery,AM,Bulk,,24.3697479,84.21052632,0.968549183,0.24,0.003929862,,,1.224484572,0.711035978,0.157018323,0.147506317,0.260048191
Brzostek_183,183,2022 7 AM5 R,,reference,2022,7_ecosystem_recovery,AM,Rhizosphere,,,,0.574445554,0.621106642,0.003453884,,,0.125836421,0.198000228,0.042275798,0.282112141,0.426139579
