"sample_id","sample_number","sample_info_id","site_treatment","date","site","symbiotroph","soil","measurement_date","am_colonization","ecm_colonziation","ap","bg","nag","phenox","perox"
"Brzostek_77","77","2017_7_AM3_R","recovery","2017","ws7","AM","Rhizosphere","617_622",NA,NA,0.251615345,0.066530481,0.012899979,0.327610107,2.259167819
"Brzostek_78","78","2017_7_AM5_R","recovery","2017","ws7","AM","Rhizosphere","617_622",NA,NA,0.210812926,0.02327876,0.004357113,0.166606347,2.318135157
"Brzostek_79","79","2017_7_AM6_R","recovery","2017","ws7","AM","Rhizosphere","617_622",NA,NA,0.253704487,0.032621197,0.006188297,0.783150691,4.397519612
"Brzostek_80","80","2017_3_ECM1_R","ammonium_sulfate","2017","ws3","ECM","Rhizosphere","617_622",NA,NA,0.365116831,0.049321119,0.016165713,0.393608575,2.634235931
"Brzostek_81","81","2017_3_ECM2_R","ammonium_sulfate","2017","ws3","ECM","Rhizosphere","617_622",NA,NA,0.225869617,0.043104239,0.007018685,0.38640304,3.03913647
"Brzostek_82","82","2017_3_ECM3_R","ammonium_sulfate","2017","ws3","ECM","Rhizosphere","617_622",NA,NA,0.219479111,0.047703624,0.005284864,0.446919592,3.1030951
"Brzostek_83","83","2017_3_ECM4_R","ammonium_sulfate","2017","ws3","ECM","Rhizosphere","617_622",NA,NA,0.360474117,0.065174614,0.01049345,0.49245516,2.968931384
"Brzostek_84","84","2017_3_ECM5_R","ammonium_sulfate","2017","ws3","ECM","Rhizosphere","617_622",NA,NA,0.289782256,0.039879488,0.008858789,0.49649709,3.153265012
"Brzostek_85","85","2017_3_ECM6_R","ammonium_sulfate","2017","ws3","ECM","Rhizosphere","617_622",NA,NA,0.294397936,0.028514196,0.007080668,0.146482104,2.209344198
"Brzostek_86","86","2017_7_AM1_B","recovery","2017","ws7","AM","Bulk","617_622",60,NA,0.233604647,0.064741263,0.009980334,0.476139542,2.561146253
"Brzostek_87","87","2017_7_AM2_B","recovery","2017","ws7","AM","Bulk","617_622",81.48148148,NA,0.371611954,0.045017336,0.017190806,0.330151848,2.185304741
"Brzostek_88","88","2017_7_AM3_B","recovery","2017","ws7","AM","Bulk","617_622",76.5625,NA,0.291792525,0.030176141,0.016287961,0.393858894,1.683054892
"Brzostek_89","89","2017_7_AM4_B","recovery","2017","ws7","AM","Bulk","617_622",78.125,NA,0.275804545,0.073224425,0.009152288,0.679781387,4.021624545
"Brzostek_90","90","2017_7_AM5_B","recovery","2017","ws7","AM","Bulk","617_622",55.73770492,NA,0.277861692,0.026577579,0.006517236,0.376292164,2.040973173
"Brzostek_91","91","2017_7_AM6_B","recovery","2017","ws7","AM","Bulk","617_622",78,NA,0.174210471,0.029551049,0.003513931,0.490886836,2.409710681
"Brzostek_92","92","2017_3_ECM1_B","ammonium_sulfate","2017","ws3","ECM","Bulk","617_622",35.29411765,NA,0.334544831,0.073001911,0.013072334,0.288920771,2.408427814
"Brzostek_93","93","2017_3_ECM2_B","ammonium_sulfate","2017","ws3","ECM","Bulk","617_622",41.93548387,NA,0.198135145,0.036656012,0.005061902,0.266209234,1.229865075
"Brzostek_94","94","2017_3_ECM3_B","ammonium_sulfate","2017","ws3","ECM","Bulk","617_622",32.55813953,NA,0.28024247,0.05983625,0.005769672,0.31903431,2.380550058
"Brzostek_95","95","2017_3_ECM4_B","ammonium_sulfate","2017","ws3","ECM","Bulk","617_622",36.36363636,NA,0.297735735,0.062756914,0.011553797,0.23389469,2.260982022
"Brzostek_96","96","2017_3_ECM5_B","ammonium_sulfate","2017","ws3","ECM","Bulk","617_622",38,NA,0.236369454,0.030758801,0.004089539,0.258884822,2.242426798
"Brzostek_97","97","2017_3_ECM6_B","ammonium_sulfate","2017","ws3","ECM","Bulk","617_622",46.2962963,NA,0.302044415,0.054513725,0.011007519,0.176555479,2.382165473
"Brzostek_110","110","2017_3_AM1_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","517_722",NA,NA,0.280303873,0.038767794,0.007869762,0.407830065,4.335713231
"Brzostek_111","111","2017_3_AM2_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","517_722",NA,NA,0.499025529,0.086730151,0.01209878,0.558038257,5.299458354
"Brzostek_112","112","2017_3_AM3_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","517_722",NA,NA,0.613317915,0.08629977,0.021441116,0.389689517,5.218578984
"Brzostek_113","113","2017_3_AM4_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","517_722",NA,NA,0.377883107,0.063155928,0.014096089,0.446628283,4.726163755
